sentiment,text,user,subject,id
neutral,"RT @HenriVanhanen: Finland 🇫🇮 and NATO, an update of recent developments. At this point, both internal and international tracks concerning…",dbruhn,NATO,35421b24-97da-4d5f-b90a-7a25ff2f55c4
neutral,This thread is so worrying. MUST READ. No wonder @POTUS spoke his mind;  reflecting what he was being briefed behin… https://t.co/teSyAxPuLb,CJ_flyvictor,NATO,3516ce10-c175-4f2f-9581-8b8de4e9f282
neutral,RT @AfricanWatchman: Our position on #UkraineWar remains unchanged. It's obvious that #Russia is defending itself against #NATO's aggressiv…,Julian_Roechelt,NATO,a5cd47c9-1629-47c3-b7dd-24fb49f0d28e
neutral,"RT @DonnachaDCU: #Putin's side-kick, Dmitry Medvedev, asserts that #Russia has a veto on who can join the EU. \n\nIn his view the EU is contr…",TheSwedishBot,NATO,656ce541-5e18-4d12-b0bc-96a8367bdbe4
negative,🇷🇺⚡🇺🇦 58 BMP-1s from #Germany warehouses will be sent to Ukraine as military aid.\n\n⚡Join Typxa English… https://t.co/WiBRcBWGnN,TPYXAEnglish,NATO,118b1520-0975-498b-8131-9028f8d28767
negative,RT @Bain86092379: Ukranians are being killed by the #AZOVNAZIS. \n#POWs are being tortured &amp; killed by the same #AZOVNAZIS \nNow convince me…,DingaDongar,NATO,86f5168b-e564-4d89-9b80-f96296a4da84
neutral,@DiegoFusaro #NATO #Draghi #Puzzer #UkraineRussiaWar #spesemilitari https://t.co/Sp1pUrfcp4,LMaledetta,NATO,7a893f44-3f37-443b-9b26-6ade739df04d
neutral,@BlkCzarDW \n@Blkczar \n@ucda10 \n@ACLU\n@Pontifex \n#EU\n#NATO \n@NATO\n\nBlkCzarDW said \nTIme 2 beaware of da plight of th… https://t.co/N41RYiZxCo,BlkCzarDW,NATO,5ff1aac0-02ca-4a8d-97de-ccd45adad320
neutral,"RT @nexta_tv: Dmitry #Medvedev claims that #Ukraine cannot join the \n EU because #Brussels is \controlled by #Washington\"" and it needs to b…""",goldbug666,NATO,147afa9e-d14b-4e37-9803-a39076f1ed87
positive,"RT @naidooinc: As a South African, of Indian decent, I feel real proud, of the SA &amp; Indian governments chosing the #Russian side in the #NA…",LiFei_SA,NATO,3f75f3a6-7646-45e3-8fc1-8f5548ff54b0
neutral,"@zeitonline @joha_roth @marcusgatzke \Wir müssen Putin die Eskalationsdominanz nehmen\""\nso der olle Sympathieträger… https://t.co/zXAszl6AcL""",MischaStrogow,NATO,a2082f5f-402f-431b-a16b-e32a54ed9ea1
positive,"RT @OkawaBooks: 📣New book released!📣\nRead this before you watch the news!!📚\n\Putin’s Real Intentions on Ukraine Invasion\""\n\nLet's get your c…""",TokumiToshio,NATO,24a4e16f-6581-45dd-812a-ff350ae2059c
neutral,RT @beckmansasikter: Vilken chock att #extremvänstern är emot frihetspakten #Nato Putin har många lakejer och avsändare i Sverige,jonssonsg,NATO,9a977e90-e2f5-4915-b8db-3cd41d11c8dc
neutral,"RT @HenriVanhanen: Finland 🇫🇮 and NATO, an update of recent developments. At this point, both internal and international tracks concerning…",DrRowanAllport,NATO,02ce0b8b-61a6-4a8a-996a-6cbaccd12ece
neutral,"Weder die #USA, noch die #EU, noch eine der mit ihnen verbundenen Institutionen hat sich je für die Bevölkerung der… https://t.co/KU9kt3G2jr",BastianEndrik,NATO,08dec3d3-e6fa-4f23-b4c4-cd6f5595a904
neutral,"RT @nexta_tv: Dmitry #Medvedev claims that #Ukraine cannot join the \n EU because #Brussels is \controlled by #Washington\"" and it needs to b…""",sburley,NATO,db7ebc02-571e-405f-a513-d8b1ee94a43f
positive,"RT @IvanKorcok: Pleased to host my colleagues from #BucharestNine 🇧🇬🇨🇿🇪🇪🇭🇺🇱🇻🇱🇹🇵🇱🇷🇴🇸🇰, DSG #NATO @Mircea_Geoana\n&amp;🇺🇲@StateEUR\n@KDonfried in #…",MartaGio3,NATO,33fb6252-f5ad-418d-810a-eb9634765fc4
positive,RT @valstsgriba: I confirmed that Latvia will continue to do everything possible in the field of military assistance. Latvia will also cont…,KalniArmands,NATO,90a19547-7c21-4f5c-98fc-8b81c39c6991
neutral,"RT @NATO_AIRCOM: Four @Armee_de_lair 🇫🇷 Mirage 2000-5Fs have started their mission at Ämari airbase, Estonia 🇪🇪\n\nPart of #NATO’s enhanced A…",Radedrugi,NATO,2f348952-657f-49fa-be55-27e7f1708f98
neutral,"RT @ecopeter: Dalle ceneri del #m5s è nato il partito della sinistra populista del @fattoquotidiano. Obiettivo unire tutti gli anti #NATO,…",tizziviola,NATO,24879964-fdd1-4a9a-8821-4f95a5b65df6
neutral,RT @AfricanWatchman: Our position on #UkraineWar remains unchanged. It's obvious that #Russia is defending itself against #NATO's aggressiv…,DingaDongar,NATO,ba033a7a-691c-4cb6-b148-4f2e0385c30c
positive,This could be useful for the #UK + #Welsh presence with #NATO in #Estonia. Will it fly there itself?… https://t.co/89ZlUwCM8j,Eburacensis,NATO,c6d9ca19-79e7-431d-a161-e0d72acb9936
negative,RT @NATOJFCBS: #RisingGriffin is a two-week long exercise demonstrating #NATO's enhanced Forward Presence Battle Group Lithuania's vigilanc…,2019_yoshiko,NATO,154d7d23-e131-4b1a-9323-71947ae514ac
negative,RT @CGMeifangZhang: #ChinaDailyCartoon  NATO can hardly cover up its hypocrisy when it fails to be honest about its long record of war crim…,periodic_reset,NATO,a5f1af1a-5249-45cb-bf79-3003c7b533c8
neutral,#Ukraine #Russia #Belarus #NATO #EU #UK #US #UN #war #diplomacy #Politics #sanctions #refugees #humanity #families… https://t.co/Q1ID0DTKdC,ChuckDalldorf,NATO,c82e4376-96e0-41cf-a654-2b0847b5972d
neutral,"RT @HenriVanhanen: Finland 🇫🇮 and NATO, an update of recent developments. At this point, both internal and international tracks concerning…",DerekPederson3,NATO,59af3049-e69c-4ced-9f0b-fd58f7c6a1e6
neutral,"RT @HenriVanhanen: Finland 🇫🇮 and NATO, an update of recent developments. At this point, both internal and international tracks concerning…",sullen_pole,NATO,088e0b26-63ac-4d0e-96eb-211442ccaafd
neutral,देश प्रदेश की ख़बरें : आज से नवरात्रि आरंभ/ HP में फायर सीजन घोषित/ पेट्... https://t.co/6FbEIngffy via @YouTube… https://t.co/OfWElSRg3s,TheRievTimes,NATO,7aa37ca8-1926-4184-b3cc-8c7091923d72
positive,RT @valstsgriba: I confirmed that Latvia will continue to do everything possible in the field of military assistance. Latvia will also cont…,krispumpurs,NATO,c67695df-bf47-4325-95d6-2ca7decc7f1b
neutral,RT @cat_coolcool: Cause of war \n#NATO https://t.co/1bMTVSNfKQ,Elbanna_bot,NATO,fbb5b31e-c665-4a35-b4e8-52af20c6ceff
neutral,আন্তর্জাতিক সংবাদ Today 03 April'22 📺 Bangla news আন্তর্জাতিক খবর antorj... https://t.co/b3PpMdPG50 via @YouTube… https://t.co/jIBom28L7Y,nbs24bulletin,NATO,cc557227-3855-47af-a1b9-01de944bed1c
neutral,Cause of war \n#NATO https://t.co/1bMTVSNfKQ,cat_coolcool,NATO,577911bb-5ce1-4f88-b6fb-c8fb0a5fab9b
negative,For #China' foreign Ministry I will be https://t.co/GXAol3rIlu define his attitude toward #EU and #NATO in the… https://t.co/w1EIErLOx2,Mastiff48,NATO,53b91f3c-84f8-4a9e-acd8-61d42e1cebfd
neutral,"Russia ,China &amp;India :can’t make any order?Indians didn’t forget the 1962 war (against PANCHSHIL) China is not trus… https://t.co/wDg19WNOnX",RajBanshRay,NATO,f52f9443-c092-4219-95d9-e70aab339d58
